Country,date,Alt_Mean_co2,lat,long,Alt_Mean_no2,Alt_Mean_ch4,Alt_Mean_o3
New Caledonia,2014-02-09,0.005117838289999999,651.0300000000001,177.67999999999992,1.094010395e-08,5.657141000000001e-06,3.15364871e-05
New Caledonia,2014-02-10,0.0016094737299999998,108.1,46.630000000000024,3.7382527000000004e-09,1.9682661600000003e-06,1.01923045e-05
New Zealand,2014-02-10,0.00239762275,385.78000000000003,454.75,4.24851524e-09,2.6943374500000003e-06,1.46932063e-05
New Zealand,2014-02-11,0.0047581071699999995,464.57,220.04999999999998,9.65153054e-09,6.14830808e-06,2.9971863000000002e-05
South Georgia and the South Sandwich Islands,2014-02-12,0.00024969902,3.97,-172.98,7.258575e-10,3.5017308e-07,1.8885814e-06
New Zealand,2014-02-12,0.004499220260000001,663.45,46.980000000000004,8.19847856e-09,5.401441380000001e-06,2.7398751700000003e-05
French Southern Territories,2014-02-12,0.00055152502,136.57999999999998,-190.07999999999998,5.338792e-10,5.3038223e-07,2.8780032e-06
New Zealand,2014-02-13,0.0036908140600000004,615.4799999999999,134.2100000000001,6.902692720000001e-09,4.65981641e-06,2.24885191e-05
New Zealand,2014-02-14,0.0037413015400000003,620.1999999999998,287.31999999999994,7.877951239999998e-09,4.34003131e-06,2.23705081e-05
New Zealand,2014-02-15,0.00343370803,787.39,275.8799999999999,4.92165822e-09,3.874310460000001e-06,1.82532905e-05
New Zealand,2014-02-16,0.00241927061,587.99,257.76,3.0335303300000004e-09,2.3459609400000003e-06,1.3812033100000001e-05
New Zealand,2014-02-17,0.00266004204,634.5899999999999,291.05000000000007,3.68156857e-09,2.66535093e-06,1.57293756e-05
South Georgia and the South Sandwich Islands,2014-02-18,0.0002604302,61.21,11.27,4.19076e-10,2.6965793e-07,1.666748e-06
New Zealand,2014-02-18,0.00157524,362.62,318.6099999999999,2.16727394e-09,1.76219829e-06,9.727875e-06
New Zealand,2014-02-19,0.00195879869,419.93,523.8599999999999,3.3533612699999998e-09,1.83460761e-06,1.0956954300000001e-05
New Zealand,2014-02-20,0.0011665082600000002,277.33000000000004,-310.78,1.62193297e-09,1.04884687e-06,6.187988300000001e-06
South Georgia and the South Sandwich Islands,2014-02-20,0.00131485736,305.77,506.21000000000004,2.2932506399999997e-09,1.24945294e-06,7.9954935e-06
South Africa,2014-02-20,0.00024927122,53.11,64.76,2.3609786e-10,1.833333e-07,1.34025e-06
South Georgia and the South Sandwich Islands,2014-02-21,0.00108351727,285.55999999999995,431.52,1.6174868099999998e-09,9.3820591e-07,5.7853809e-06
New Zealand,2014-02-21,0.00082874047,193.24,-128.39,1.22584851e-09,9.3477012e-07,5.0826763e-06
New Zealand,2014-02-22,0.0027366380300000003,605.5899999999999,246.23000000000002,4.36894538e-09,2.8076170700000003e-06,1.5835023699999997e-05
New Zealand,2014-02-23,0.00221008217,427.31000000000006,-451.71,3.68721678e-09,2.62006173e-06,1.3113821700000002e-05
New Zealand,2014-02-24,0.0033046894600000003,710.15,-373.2999999999999,5.035421370000001e-09,3.8142549000000004e-06,1.84455632e-05
New Zealand,2014-02-25,0.00267338562,652.76,372.21999999999997,3.44608885e-09,2.75773361e-06,1.41910065e-05
New Zealand,2014-02-26,0.00449059396,901.36,344.48999999999995,6.6093486300000004e-09,4.89675727e-06,2.6805303e-05
South Georgia and the South Sandwich Islands,2014-02-27,0.00026277098,-2.41,3.4,4.676933e-10,3.3639122e-07,1.7947384e-06
New Zealand,2014-02-27,0.00239847521,298.81,-56.050000000000004,3.6888456299999995e-09,2.81290506e-06,1.4665796700000001e-05
South Africa,2014-02-27,0.0003204861,81.14,-120.66,4.1303222000000004e-10,2.9006145e-07,1.6787222e-06
South Georgia and the South Sandwich Islands,2014-02-28,0.00106383706,231.94,-149.18000000000004,1.66890818e-09,1.0286664599999999e-06,6.6729877e-06
New Zealand,2014-02-28,0.004923476960000001,729.5000000000001,444.81000000000006,7.329626870000001e-09,5.32136201e-06,2.8363960200000002e-05
New Zealand,2014-03-01,0.00400098036,335.7499999999999,192.92999999999998,7.30611324e-09,4.795032459999999e-06,2.5024616799999997e-05
New Zealand,2014-03-02,0.00556540227,676.0400000000001,196.02000000000004,1.120441078e-08,7.05505961e-06,3.46824102e-05
New Zealand,2014-03-03,0.00457257846,519.99,201.1500000000001,9.61784279e-09,5.74656548e-06,2.8013912499999997e-05
New Zealand,2014-03-04,0.00293120542,335.9,-386.68,5.90050415e-09,3.83218421e-06,1.85099734e-05
South Africa,2014-03-04,0.00026042535,82.82,-0.27,4.955481e-10,2.5559322e-07,1.475394e-06
South Georgia and the South Sandwich Islands,2014-03-04,0.0018656669300000002,352.1600000000001,637.55,3.85260949e-09,2.23702769e-06,1.13628301e-05
French Southern Territories,2014-03-04,0.00025538256,-31.53,-32.31,5.965886e-10,3.1664513e-07,1.7713069e-06
South Georgia and the South Sandwich Islands,2014-03-05,0.0015976966100000002,17.65,429.37,3.22614088e-09,1.92727989e-06,9.2973925e-06
New Zealand,2014-03-05,0.0030116320800000003,318.3400000000001,103.34999999999997,5.7069483e-09,3.2156777699999996e-06,1.77169547e-05
South Africa,2014-03-05,0.0007979459600000001,128.88,-336.37,1.55929302e-09,9.378646199999999e-07,4.800098299999999e-06
South Africa,2014-03-06,0.00027116318,-38.6,76.49,5.8828936e-10,3.8275408e-07,1.6422032e-06
South Georgia and the South Sandwich Islands,2014-03-06,0.00106929985,-41.769999999999996,-78.23999999999998,2.3456275099999998e-09,1.4274471700000003e-06,6.585972299999999e-06
New Zealand,2014-03-06,0.00525117807,678.8699999999999,200.97999999999993,1.157526128e-08,5.99455475e-06,3.1962698800000006e-05
New Zealand,2014-03-07,0.0049310853000000005,438.83000000000004,110.94999999999999,1.0913158570000001e-08,5.7009149300000005e-06,3.0031496300000006e-05
South Georgia and the South Sandwich Islands,2014-03-08,0.00026851817,83.25,-150.96,5.320006e-10,3.138192e-07,1.8171315e-06
New Zealand,2014-03-08,0.00522934629,230.69999999999993,217.30000000000004,1.108139488e-08,5.719331100000001e-06,3.0719045899999996e-05
South Georgia and the South Sandwich Islands,2014-03-09,0.00025838922,-49.37,8.18,6.455197e-10,2.6039953e-07,1.6014416e-06
New Zealand,2014-03-09,0.004701342460000001,698.95,-342.72,8.868800499999999e-09,4.44171206e-06,2.69276364e-05
New Zealand,2014-03-10,0.006926587499999999,661.96,-58.39000000000004,1.3289495309999998e-08,6.800433659999999e-06,3.91452469e-05
New Zealand,2014-03-11,0.00469023886,107.58999999999999,299.74,9.319868400000003e-09,4.7732542900000005e-06,2.63677661e-05
South Africa,2014-03-11,0.00078231312,247.82,-317.79,1.50556998e-09,6.781268700000001e-07,4.9303243e-06
South Georgia and the South Sandwich Islands,2014-03-11,0.00051613108,27.709999999999994,-182.13,1.2038008699999999e-09,5.3969983e-07,3.2977903e-06
New Zealand,2014-03-12,0.00410432642,676.9000000000001,130.04000000000002,8.32300709e-09,3.7673770800000004e-06,2.38085587e-05
South Georgia and the South Sandwich Islands,2014-03-12,0.0013751688899999999,-11.699999999999989,224.31,2.77231096e-09,1.37477958e-06,7.8065919e-06
